time,cluster,ride,count
8.5,4,34,10
8.5,4,35,26
8.5,4,36,12
8.5,4,37,14
8.5,4,38,5
8.5,4,39,6
8.5,4,4,28
8.5,4,5,32
8.5,4,6,16
8.5,4,7,55
8.5,4,8,4
8.5,4,9,41
8.5,5,0,194
8.5,5,1,16
8.5,5,13,2
8.5,5,17,1
8.5,5,2,37
8.5,5,20,2
8.5,5,24,3
8.5,5,26,2
8.5,5,27,4
8.5,5,3,2
8.5,5,30,2
8.5,5,31,1
8.5,5,33,6
8.5,5,37,1
8.5,5,38,2
8.5,5,9,4
8.5,6,0,273
8.5,6,1,83
8.5,6,10,8
8.5,6,12,10
8.5,6,13,23
8.5,6,16,18
8.5,6,17,1
8.5,6,18,8
8.5,6,19,13
8.5,6,2,127
8.5,6,20,3
8.5,6,21,8
8.5,6,23,9
8.5,6,26,23
8.5,6,27,6
8.5,6,28,19
8.5,6,29,4
8.5,6,3,8
8.5,6,30,4
8.5,6,31,23
8.5,6,32,3
8.5,6,33,13
8.5,6,34,8
8.5,6,35,1
8.5,6,36,3
8.5,6,37,11
8.5,6,38,8
8.5,6,4,8
8.5,6,5,10
8.5,6,6,8
8.5,6,7,15
8.5,6,8,6
8.5,6,9,25
8.5,8,0,247
8.5,8,1,78
8.5,8,10,1
8.5,8,12,6
8.5,8,13,34
8.5,8,15,10
8.5,8,16,40
8.5,8,17,8
8.5,8,18,6
8.5,8,19,4
8.5,8,2,179
8.5,8,20,3
8.5,8,21,3
8.5,8,23,7
8.5,8,25,1
8.5,8,26,4
8.5,8,27,13
8.5,8,28,10
8.5,8,29,4
8.5,8,3,2
8.5,8,31,29
8.5,8,32,4
8.5,8,33,19
8.5,8,34,7
8.5,8,35,1
8.5,8,36,1
8.5,8,37,7
8.5,8,38,8
8.5,8,39,4
8.5,8,40,2
8.5,8,5,11
8.5,8,6,7
8.5,8,7,8
8.5,8,8,13
8.5,8,9,13
8.5,9,0,230
8.5,9,1,106
8.5,9,10,7
8.5,9,11,2
8.5,9,12,3
8.5,9,13,16
8.5,9,15,5
8.5,9,16,11
8.5,9,17,1
8.5,9,18,3
8.5,9,19,6
8.5,9,2,99
8.5,9,20,4
8.5,9,23,14
8.5,9,24,10
8.5,9,25,7
8.5,9,26,35
8.5,9,27,27
8.5,9,28,14
8.5,9,29,4
8.5,9,3,11
8.5,9,30,7
8.5,9,31,19
8.5,9,32,9
8.5,9,33,18
8.5,9,34,14
8.5,9,35,17
8.5,9,36,13
8.5,9,37,8
8.5,9,38,1
8.5,9,39,14
8.5,9,4,4
8.5,9,5,34
8.5,9,6,7
8.5,9,7,22
8.5,9,8,7
8.5,9,9,15
9.0,0,0,110
9.0,0,10,19
9.0,0,11,7
9.0,0,12,15
9.0,0,13,116
9.0,0,14,16
9.0,0,15,7
9.0,0,16,71
9.0,0,17,21
9.0,0,18,8
9.0,0,19,16
9.0,0,20,16
9.0,0,21,15
9.0,0,22,4
9.0,0,23,50
9.0,0,24,10
9.0,0,25,11
9.0,0,26,52
9.0,0,27,66
9.0,0,28,36
9.0,0,29,11
9.0,0,3,5
9.0,0,30,5
9.0,0,31,63
9.0,0,32,11
9.0,0,33,60
9.0,0,34,12
9.0,0,35,24
9.0,0,36,22
9.0,0,37,18
9.0,0,38,4
9.0,0,39,10
9.0,0,4,3
9.0,0,40,2
9.0,0,5,52
9.0,0,6,11
9.0,0,7,37
9.0,0,8,21
9.0,0,9,44
9.0,1,0,6
9.0,10,0,1
9.0,10,31,1
9.0,11,0,1
9.0,11,1,20
9.0,11,10,1
9.0,11,13,20
9.0,11,16,12
9.0,11,17,8
9.0,11,2,3
9.0,11,20,6
9.0,11,23,1
9.0,11,25,6
9.0,11,26,10
9.0,11,27,12
9.0,11,28,8
9.0,11,31,3
9.0,11,32,1
9.0,11,33,9
9.0,11,34,6
9.0,11,35,11
9.0,11,36,1
9.0,11,37,6
9.0,11,38,6
9.0,11,5,8
9.0,11,7,9
9.0,11,9,6
9.0,1,5,6
9.0,2,0,189
9.0,2,1,66
9.0,2,10,9
9.0,2,11,4
9.0,2,12,7
9.0,2,13,73
9.0,2,14,15
9.0,2,15,6
9.0,2,16,35
9.0,2,18,2
9.0,2,19,12
9.0,2,2,43
9.0,2,20,7
9.0,2,21,2
9.0,2,22,9
9.0,2,23,25
9.0,2,24,3
9.0,2,25,3
9.0,2,26,26
9.0,2,27,32
9.0,2,28,37
9.0,2,29,30
9.0,2,3,22
9.0,2,30,17
9.0,2,31,16
9.0,2,32,17
9.0,2,33,26
9.0,2,34,4
9.0,2,35,11
9.0,2,36,17
9.0,2,37,11
9.0,2,39,18
9.0,2,4,6
9.0,2,40,1
9.0,2,5,40
9.0,2,6,12
9.0,2,7,57
9.0,2,8,2
9.0,2,9,27
9.0,3,0,2
9.0,3,1,2
9.0,3,2,21
9.0,3,27,1
9.0,3,28,3
9.0,3,33,1
9.0,3,39,1
9.0,4,0,123
9.0,4,1,31
9.0,4,10,9
9.0,4,11,24
9.0,4,12,21
9.0,4,13,76
9.0,4,14,12
9.0,4,15,15
9.0,4,16,75
9.0,4,17,10
9.0,4,18,14
9.0,4,19,8
9.0,4,2,46
9.0,4,20,12
9.0,4,21,15
9.0,4,22,6
9.0,4,23,28
9.0,4,24,28
9.0,4,25,21
9.0,4,26,48
9.0,4,27,60
9.0,4,28,55
9.0,4,29,28
9.0,4,3,1
9.0,4,30,7
9.0,4,31,62
9.0,4,32,20
9.0,4,33,30
9.0,4,34,7
9.0,4,35,13
9.0,4,36,10
9.0,4,37,14
9.0,4,38,1
9.0,4,4,7
9.0,4,5,53
9.0,4,6,16
9.0,4,7,72
9.0,4,8,30
9.0,4,9,30
9.0,5,0,208
9.0,5,1,58
9.0,5,10,8
9.0,5,11,23
9.0,5,12,5
9.0,5,13,21
9.0,5,14,3
9.0,5,15,1
9.0,5,16,33
9.0,5,18,11
9.0,5,19,2
9.0,5,2,114
9.0,5,20,9
9.0,5,21,13
9.0,5,22,11
9.0,5,23,15
9.0,5,24,15
9.0,5,25,10
9.0,5,26,37
9.0,5,27,33
9.0,5,28,30
9.0,5,29,9
9.0,5,3,15
9.0,5,30,2
9.0,5,31,24
9.0,5,33,43
9.0,5,34,9
9.0,5,35,4
9.0,5,36,14
9.0,5,38,9
9.0,5,39,8
9.0,5,5,6
9.0,5,6,5
9.0,5,7,33
9.0,5,8,9
9.0,5,9,11
9.0,6,0,154
9.0,6,1,82
9.0,6,10,11
9.0,6,11,1
9.0,6,12,8
9.0,6,13,118
9.0,6,14,2
9.0,6,15,3
9.0,6,16,49
9.0,6,17,4
9.0,6,18,20
9.0,6,19,12
9.0,6,2,41
9.0,6,20,1
9.0,6,21,11
9.0,6,22,8
9.0,6,23,12
9.0,6,24,6
9.0,6,26,48
9.0,6,27,34
9.0,6,28,67
9.0,6,29,11
9.0,6,3,23
9.0,6,30,6
9.0,6,31,58
9.0,6,32,14
9.0,6,33,69
9.0,6,34,13
9.0,6,35,22
9.0,6,36,27
9.0,6,37,31
9.0,6,39,19
9.0,6,4,6
9.0,6,5,71
9.0,6,6,40
9.0,6,7,47
9.0,6,8,15
9.0,6,9,62
9.0,7,0,18
9.0,8,0,214
9.0,8,1,62
9.0,8,10,17
9.0,8,11,13
9.0,8,12,1
9.0,8,13,36
9.0,8,14,15
9.0,8,15,8
9.0,8,16,34
9.0,8,17,8
9.0,8,18,13
9.0,8,19,7
9.0,8,2,57
9.0,8,20,3
9.0,8,21,17
9.0,8,22,3
9.0,8,23,28
9.0,8,24,12
9.0,8,25,5
9.0,8,26,33
9.0,8,27,66
9.0,8,28,52
9.0,8,29,12
9.0,8,3,19
9.0,8,30,1
9.0,8,31,39
9.0,8,32,14
9.0,8,33,53
9.0,8,34,12
9.0,8,35,13
9.0,8,36,24
9.0,8,37,12
9.0,8,38,2
9.0,8,39,12
9.0,8,4,19
9.0,8,40,3
9.0,8,5,42
9.0,8,6,13
9.0,8,7,28
9.0,8,8,3
9.0,8,9,54
9.0,9,0,42
9.0,9,1,26
9.0,9,10,10
9.0,9,11,3
9.0,9,12,11
9.0,9,13,49
9.0,9,14,5
9.0,9,15,8
9.0,9,16,48
9.0,9,17,5
9.0,9,18,13
9.0,9,19,13
9.0,9,2,35
9.0,9,20,11
9.0,9,21,2
9.0,9,22,3
9.0,9,23,12
9.0,9,24,11
9.0,9,25,14
9.0,9,26,44
9.0,9,27,36
9.0,9,28,63
9.0,9,29,10
9.0,9,3,17
9.0,9,30,15
9.0,9,31,45
9.0,9,32,10
9.0,9,33,54
9.0,9,34,9
9.0,9,35,4
9.0,9,36,19
9.0,9,37,2
9.0,9,38,11
9.0,9,39,1
9.0,9,4,9
9.0,9,5,49
9.0,9,6,13
9.0,9,7,33
9.0,9,8,16
9.0,9,9,52
9.5,0,10,16
9.5,0,11,9
9.5,0,12,3
9.5,0,13,37
9.5,0,14,1
9.5,0,15,10
9.5,0,16,57
9.5,0,17,53
9.5,0,18,4
9.5,0,19,9
9.5,0,20,5
9.5,0,21,4
9.5,0,22,8
9.5,0,23,62
9.5,0,24,70
9.5,0,25,4
9.5,0,26,24
9.5,0,27,41
9.5,0,28,17
9.5,0,29,10
9.5,0,3,5
9.5,0,30,17
9.5,0,31,45
9.5,0,32,10
9.5,0,33,28
9.5,0,34,14
9.5,0,35,22
9.5,0,36,9
9.5,0,37,30
9.5,0,38,6
9.5,0,39,4
9.5,0,40,4
9.5,0,41,58
9.5,0,5,57
9.5,0,6,19
9.5,0,7,34
9.5,0,8,16
9.5,0,9,62
9.5,1,0,16
9.5,10,1,1
9.5,1,10,6
9.5,11,12,5
9.5,11,13,2
9.5,11,14,12
9.5,11,18,7
9.5,11,19,5
9.5,11,20,1
9.5,11,21,9
9.5,11,23,1
9.5,11,26,7
9.5,11,27,17
9.5,11,28,4
9.5,11,31,4
9.5,11,33,16
9.5,11,35,1
9.5,11,36,1
9.5,11,38,1
9.5,11,41,5
9.5,11,5,2
9.5,1,16,7
9.5,11,6,1
9.5,11,7,4
9.5,11,9,1
9.5,1,28,3
9.5,1,5,3
9.5,2,11,5
9.5,2,12,6
9.5,2,13,31
9.5,2,14,5
9.5,2,15,3
9.5,2,16,26
9.5,2,17,15
9.5,2,18,11
9.5,2,19,10
9.5,2,20,3
9.5,2,21,20
9.5,2,23,11
9.5,2,24,1
9.5,2,25,22
9.5,2,26,31
9.5,2,27,29
9.5,2,28,46
9.5,2,29,6
9.5,2,3,7
9.5,2,30,7
9.5,2,31,65
9.5,2,32,6
9.5,2,33,70
9.5,2,34,9
9.5,2,35,10
9.5,2,36,10
9.5,2,37,24
9.5,2,38,17
9.5,2,39,15
9.5,2,4,13
9.5,2,41,34
9.5,2,5,43
9.5,2,6,24
9.5,2,7,35
9.5,2,8,9
9.5,2,9,46
9.5,3,1,1
9.5,3,10,1
9.5,3,16,4
9.5,3,2,8
9.5,3,20,2
9.5,3,26,4
9.5,3,27,2
9.5,3,28,2
9.5,3,29,1
9.5,3,31,5
9.5,3,32,1
9.5,3,33,3
9.5,3,34,2
9.5,3,5,1
9.5,3,7,7
9.5,3,9,7
9.5,4,10,14
9.5,4,11,5
9.5,4,12,23
9.5,4,13,36
9.5,4,14,11
9.5,4,15,19
9.5,4,16,45
9.5,4,17,12
9.5,4,18,6
9.5,4,19,16
9.5,4,20,16
9.5,4,21,41
9.5,4,22,7
9.5,4,23,11
9.5,4,24,12
9.5,4,25,3
9.5,4,26,40
9.5,4,27,62
9.5,4,28,48
9.5,4,29,14
9.5,4,3,17
9.5,4,30,9
9.5,4,31,37
9.5,4,32,15
9.5,4,33,76
9.5,4,34,18
9.5,4,35,6
9.5,4,36,17
9.5,4,38,25
9.5,4,39,26
9.5,4,4,29
9.5,4,41,57
9.5,4,5,40
9.5,4,6,9
9.5,4,7,45
9.5,4,8,18
9.5,4,9,64
9.5,5,10,14
9.5,5,11,15
9.5,5,12,8
9.5,5,13,36
9.5,5,14,11
9.5,5,15,7
9.5,5,16,39
9.5,5,17,10
9.5,5,18,12
9.5,5,19,3
9.5,5,20,14
9.5,5,21,28
9.5,5,22,21
9.5,5,23,5
9.5,5,24,23
9.5,5,26,44
9.5,5,27,45
9.5,5,28,22
9.5,5,29,18
9.5,5,3,4
9.5,5,30,2
9.5,5,31,10
9.5,5,32,19
9.5,5,33,48
9.5,5,34,6
9.5,5,35,17
9.5,5,36,16
9.5,5,37,16
9.5,5,38,10
9.5,5,39,25
9.5,5,41,30
9.5,5,5,39
9.5,5,6,10
9.5,5,7,34
9.5,5,8,13
9.5,5,9,49
9.5,6,10,24
9.5,6,11,1
9.5,6,12,7
9.5,6,13,39
9.5,6,14,20
9.5,6,15,9
9.5,6,16,44
9.5,6,17,13
9.5,6,18,12
9.5,6,19,10
9.5,6,20,7
9.5,6,21,2
9.5,6,22,2
9.5,6,23,9
9.5,6,24,7
9.5,6,25,5
9.5,6,26,40
9.5,6,27,113
9.5,6,28,45
9.5,6,29,2
9.5,6,3,1
9.5,6,30,5
9.5,6,31,36
9.5,6,32,2
9.5,6,33,15
9.5,6,34,9
9.5,6,35,7
9.5,6,37,16
9.5,6,38,11
9.5,6,39,24
9.5,6,4,11
9.5,6,41,52
9.5,6,5,38
9.5,6,6,4
9.5,6,7,31
9.5,6,8,8
9.5,6,9,26
9.5,7,0,34
9.5,7,1,5
9.5,7,15,4
9.5,7,16,4
9.5,7,19,5
9.5,7,2,3
9.5,7,28,5
9.5,7,29,5
9.5,7,31,4
9.5,7,33,4
9.5,7,7,1
9.5,7,9,3
9.5,8,0,179
9.5,8,10,12
9.5,8,11,5
9.5,8,12,12
9.5,8,13,64
9.5,8,14,11
9.5,8,15,2
9.5,8,16,97
9.5,8,17,20
9.5,8,18,4
9.5,8,19,10
9.5,8,2,40
9.5,8,20,16
9.5,8,21,15
9.5,8,22,16
9.5,8,23,16
9.5,8,24,2
9.5,8,25,12
9.5,8,26,66
9.5,8,27,41
9.5,8,28,49
9.5,8,29,12
9.5,8,3,5
9.5,8,30,22
9.5,8,31,27
9.5,8,32,108
9.5,8,33,83
9.5,8,34,12
9.5,8,35,25
9.5,8,36,31
9.5,8,37,19
9.5,8,38,7
9.5,8,39,8
9.5,8,40,2
9.5,8,41,63
9.5,8,5,40
9.5,8,6,17
9.5,8,7,58
9.5,8,8,21
9.5,8,9,55
9.5,9,10,5
9.5,9,11,16
9.5,9,12,13
9.5,9,13,24
9.5,9,14,11
9.5,9,15,11
9.5,9,16,23
9.5,9,17,13
9.5,9,18,3
9.5,9,19,3
9.5,9,20,3
9.5,9,21,2
9.5,9,22,9
9.5,9,23,16
9.5,9,24,14
9.5,9,25,10
9.5,9,26,29
9.5,9,27,35
9.5,9,28,29
9.5,9,29,7
9.5,9,3,8
9.5,9,30,3
9.5,9,31,43
9.5,9,32,3
9.5,9,33,38
9.5,9,34,4
9.5,9,35,12
9.5,9,36,7
9.5,9,37,9
9.5,9,38,2
9.5,9,39,10
9.5,9,4,6
9.5,9,40,2
9.5,9,41,27
9.5,9,5,24
9.5,9,6,22
9.5,9,7,38
9.5,9,8,14
9.5,9,9,30
10.0,0,10,2
10.0,0,11,5
10.0,0,12,13
10.0,0,14,12
10.0,0,15,14
10.0,0,16,37
10.0,0,17,5
10.0,0,18,7
10.0,0,19,20
10.0,0,20,11
10.0,0,21,11
10.0,0,22,16
10.0,0,23,15
10.0,0,24,15
10.0,0,25,4
10.0,0,26,75
10.0,0,27,38
10.0,0,28,31
10.0,0,29,16
10.0,0,3,1
10.0,0,30,3
10.0,0,31,33
10.0,0,32,11
10.0,0,33,78
10.0,0,34,5
10.0,0,35,23
10.0,0,36,17
10.0,0,37,20
10.0,0,38,41
10.0,0,39,14
10.0,0,4,13
10.0,0,41,63
10.0,0,5,27
10.0,0,6,9
10.0,0,7,24
10.0,0,8,6
10.0,0,9,47
10.0,1,0,33
10.0,11,10,4
10.0,11,12,5
10.0,11,16,8
10.0,11,22,6
10.0,11,23,4
10.0,11,24,2
10.0,11,26,5
10.0,11,27,29
10.0,11,28,3
10.0,11,31,10
10.0,11,33,1
10.0,11,34,1
10.0,11,35,2
10.0,11,36,4
10.0,11,37,6
10.0,11,4,3
10.0,11,5,12
10.0,11,7,1
10.0,1,18,2
10.0,11,9,7
10.0,1,20,2
10.0,1,26,3
10.0,1,27,4
10.0,1,28,3
10.0,1,31,11
10.0,1,37,3
10.0,1,5,6
10.0,2,10,12
10.0,2,11,11
10.0,2,12,10
10.0,2,14,18
10.0,2,15,3
10.0,2,16,47
10.0,2,17,11
10.0,2,18,2
10.0,2,19,13
10.0,2,20,13
10.0,2,21,5
10.0,2,22,15
10.0,2,23,15
10.0,2,24,5
10.0,2,25,7
10.0,2,26,50
10.0,2,27,45
10.0,2,28,36
10.0,2,29,3
10.0,2,3,2
10.0,2,30,3
10.0,2,31,46
10.0,2,32,6
10.0,2,33,34
10.0,2,34,19
10.0,2,35,10
10.0,2,36,10
10.0,2,37,18
10.0,2,38,9
10.0,2,39,22
10.0,2,4,3
10.0,2,41,41
10.0,2,5,21
10.0,2,6,9
10.0,2,7,51
10.0,2,8,15
10.0,2,9,38
10.0,3,16,2
10.0,3,17,1
10.0,3,23,3
10.0,3,24,1
10.0,3,26,4
10.0,3,27,2
10.0,3,28,5
10.0,3,29,1
10.0,3,31,1
10.0,3,32,1
10.0,3,33,2
10.0,3,40,1
10.0,3,5,4
10.0,3,7,1
10.0,3,9,1
10.0,4,10,15
10.0,4,11,10
10.0,4,12,5
10.0,4,14,27
10.0,4,15,5
10.0,4,16,29
10.0,4,17,27
10.0,4,18,19
10.0,4,19,16
10.0,4,20,5
10.0,4,21,14
10.0,4,22,16
10.0,4,23,23
10.0,4,24,3
10.0,4,25,17
10.0,4,26,27
10.0,4,27,60
10.0,4,28,41
10.0,4,29,5
10.0,4,3,6
10.0,4,31,33
10.0,4,32,7
10.0,4,33,33
10.0,4,34,1
10.0,4,35,13
10.0,4,36,37
10.0,4,37,15
10.0,4,38,1
10.0,4,39,14
10.0,4,4,2
10.0,4,41,100
10.0,4,5,38
10.0,4,6,25
10.0,4,7,28
10.0,4,8,3
10.0,4,9,42
10.0,5,10,6
10.0,5,11,13
10.0,5,12,13
10.0,5,16,19
10.0,5,17,9
10.0,5,18,3
10.0,5,19,33
10.0,5,20,2
10.0,5,21,14
10.0,5,22,18
10.0,5,23,9
10.0,5,24,2
10.0,5,25,1
10.0,5,26,38
10.0,5,27,14
10.0,5,28,37
10.0,5,29,1
10.0,5,3,7
10.0,5,30,6
10.0,5,31,22
10.0,5,32,20
10.0,5,33,38
10.0,5,34,14
10.0,5,35,11
10.0,5,36,4
10.0,5,37,1
10.0,5,38,3
10.0,5,39,5
10.0,5,4,1
10.0,5,40,1
10.0,5,41,25
10.0,5,5,47
10.0,5,6,23
10.0,5,7,32
10.0,5,8,2
10.0,5,9,33
10.0,6,10,10
10.0,6,11,10
10.0,6,12,2
10.0,6,14,5
10.0,6,16,36
10.0,6,17,7
10.0,6,18,9
10.0,6,19,23
10.0,6,20,11
10.0,6,21,11
10.0,6,22,7
10.0,6,23,31
10.0,6,24,2
10.0,6,25,4
10.0,6,26,59
10.0,6,27,27
10.0,6,28,26
10.0,6,29,7
10.0,6,3,14
10.0,6,30,11
10.0,6,31,36
10.0,6,32,7
10.0,6,33,18
10.0,6,34,7
10.0,6,35,5
10.0,6,36,15
10.0,6,37,16
10.0,6,38,14
10.0,6,39,23
10.0,6,4,24
10.0,6,41,68
10.0,6,5,19
10.0,6,6,36
10.0,6,7,46
10.0,6,8,16
10.0,6,9,30
10.0,7,0,26
10.0,7,1,2
10.0,7,16,2
10.0,7,17,2
10.0,7,2,5
10.0,7,26,1
10.0,7,27,1
10.0,7,28,13
10.0,7,29,1
10.0,7,31,7
10.0,7,32,5
10.0,7,33,9
10.0,7,34,1
10.0,7,35,1
10.0,7,37,9
10.0,7,5,5
10.0,7,6,1
10.0,7,7,2
10.0,7,8,5
10.0,7,9,10
10.0,8,0,43
10.0,8,10,19
10.0,8,11,51
10.0,8,12,4
10.0,8,14,30
10.0,8,15,4
10.0,8,16,17
10.0,8,17,7
10.0,8,18,2
10.0,8,19,51
10.0,8,20,9
10.0,8,21,3
10.0,8,22,34
10.0,8,23,10
10.0,8,24,61
10.0,8,25,13
10.0,8,26,108
10.0,8,27,36
10.0,8,28,21
10.0,8,29,19
10.0,8,3,7
10.0,8,30,40
10.0,8,31,64
10.0,8,32,11
10.0,8,33,30
10.0,8,34,47
10.0,8,35,5
10.0,8,36,2
10.0,8,37,12
10.0,8,38,17
10.0,8,39,62
10.0,8,4,9
10.0,8,41,76
10.0,8,5,55
10.0,8,6,7
10.0,8,7,84
10.0,8,8,17
10.0,8,9,24
10.0,9,10,2
10.0,9,12,4
10.0,9,14,6
10.0,9,15,6
10.0,9,16,17
10.0,9,17,14
10.0,9,19,5
10.0,9,20,10
10.0,9,21,9
10.0,9,22,5
10.0,9,23,24
10.0,9,24,4
10.0,9,25,10
10.0,9,26,20
10.0,9,27,42
10.0,9,28,25
10.0,9,29,15
10.0,9,30,6
10.0,9,31,17
10.0,9,32,5
10.0,9,33,23
10.0,9,34,19
10.0,9,35,2
10.0,9,36,7
10.0,9,37,8
10.0,9,38,3
10.0,9,39,8
10.0,9,41,65
10.0,9,5,30
10.0,9,6,13
10.0,9,7,42
10.0,9,8,8
10.0,9,9,31
10.5,0,10,3
10.5,0,11,10
10.5,0,12,8
10.5,0,14,10
10.5,0,15,7
10.5,0,16,39
10.5,0,17,19
10.5,0,18,53
10.5,0,19,23
10.5,0,20,11
10.5,0,21,6
10.5,0,22,10
10.5,0,23,3
10.5,0,24,6
10.5,0,26,20
10.5,0,27,28
10.5,0,28,18
10.5,0,29,8
10.5,0,3,12
10.5,0,30,4
10.5,0,31,38
10.5,0,32,12
10.5,0,33,43
10.5,0,34,8
10.5,0,35,9
10.5,0,36,18
10.5,0,37,8
10.5,0,38,4
10.5,0,39,7
10.5,0,4,11
10.5,0,40,1
10.5,0,5,57
10.5,0,7,36
10.5,0,9,39
10.5,11,16,6
10.5,11,17,5
10.5,11,18,5
10.5,11,21,1
10.5,11,23,6
10.5,11,24,2
10.5,11,26,3
10.5,11,27,2
10.5,11,29,5
10.5,11,30,11
10.5,11,31,9
10.5,11,32,3
10.5,11,33,2
10.5,11,34,6
10.5,11,36,2
10.5,11,39,5
10.5,11,5,6
10.5,11,7,6
10.5,11,9,6
10.5,1,24,7
10.5,1,31,7
10.5,1,34,3
10.5,1,4,7
10.5,1,5,3
10.5,1,9,2
10.5,2,10,8
10.5,2,11,20
10.5,2,12,7
10.5,2,14,2
10.5,2,16,29
10.5,2,17,17
10.5,2,18,2
10.5,2,19,8
10.5,2,20,5
10.5,2,21,12
10.5,2,22,9
10.5,2,23,32
10.5,2,24,11
10.5,2,25,15
10.5,2,26,57
10.5,2,27,10
10.5,2,28,19
10.5,2,29,7
10.5,2,3,1
10.5,2,30,7
10.5,2,31,53
10.5,2,32,5
10.5,2,33,32
10.5,2,34,3
10.5,2,35,4
10.5,2,36,7
10.5,2,37,9
10.5,2,39,12
10.5,2,4,7
10.5,2,5,13
10.5,2,6,22
10.5,2,7,30
10.5,2,8,4
10.5,2,9,33
10.5,3,26,3
10.5,3,27,3
